videoId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
01DdvEHX,1577,1577,1983,1983,5817,2532,2393,1878,2061,765,2393,639,639,4123,3067,2983,2492,2899,2749,4131
01HmDgRX,2655,2937,5326,2655,3430,3459,2937,5783,3899,5783,2471,4453,2789,5663,5073,3134,4654,5672,310,2947
01MDIjwg,4496,5606,390,5188,1563,450,1937,2733,1158,56,785,3616,1089,636,4268,210,2919,2805,4729,4109
02Dnm154,2996,4847,1580,4209,4483,2418,5701,5530,5415,2271,4878,2047,2256,1351,2929,5427,2996,2274,4778,2577
02I1exYc,2737,2501,5491,1158,2926,1436,1158,2899,168,4269,1167,1047,4109,2737,1689,2016,678,2899,2831,1313
02J5ABU1,4693,3948,2899,2938,4573,4861,1368,3777,1169,1436,4222,4080,5799,3,2532,4268,5431,1167,571,3865
02nzMLRu,3999,5562,212,2354,462,217,3807,2935,5146,5691,194,2517,5288,3532,1219,3218,3267,5182,4020,4496
03JDeH1Y,4263,4263,4714,10,5845,2410,178,4782,5718,3408,470,2913,5355,3122,36,36,4408,4090,4497,4674
03iWqftg,1112,2344,2393,3067,1112,5099,2983,1897,98,3067,850,2393,2404,4658,5297,5297,850,1983,814,2881
03trKEHD,2671,1339,5723,288,3777,1459,1459,823,3210,15,4300,1748,346,4300,1977,1339,2273,2260,5500,3897
04Bz1rtE,3713,3713,5541,979,2968,2968,771,979,1719,2274,516,1390,1585,1567,483,4038,3373,2615,5064,915
04f6m3BF,2327,2827,3140,3347,2921,3347,685,5923,988,4472,2906,735,2405,741,476,988,3557,1212,741,2049
04v6H7X9,1359,4316,4424,5665,1359,328,1573,3438,5282,2801,2537,1634,5688,2354,5449,4267,4971,1490,618,3281
056nP9o7,4379,4267,4563,5334,2139,859,429,4864,4887,4344,5317,1289,399,3557,4656,4477,4714,5845,819,5845
05E2iJoG,2179,4564,298,2179,5669,2608,4317,5970,997,2155,906,3635,2104,941,540,5065,5340,3260,1623,72
05lMWEKB,3500,5226,3699,3084,5226,2886,2878,2333,2198,4243,4665,3084,2042,1079,3460,927,2168,4344,925,1915
05xeuoSX,3470,5136,527,527,3470,5876,1757,3071,389,2843,3863,4497,5169,3012,3122,1386,3488,1704,2858,2323
06UxtWqT,1780,4092,597,2062,1877,3476,1451,5055,4341,5463,2909,740,647,308,4664,5880,457,3172,3537,172
06gZx83y,5991,4725,5991,74,2142,5821,8,1605,383,5613,3189,2722,4660,180,4660,2226,284,2561,5487,648
07LhF2BP,1835,3242,4128,4881,4881,1875,1869,5689,2844,2550,4128,465,976,5983,1208,2090,895,3603,3930,3912
07SwazrD,2050,5489,332,5186,5186,5714,2943,4791,3495,5782,1520,1598,1709,5489,3922,1816,4340,3368,3113,2050
07qf5K8H,2595,637,2388,3199,1204,1367,4665,4440,1625,229,3174,2358,373,2878,243,1082,3401,3947,2014,3117
08ErV6Xg,3115,3115,18,2356,1392,2006,121,2006,1285,3761,3095,3497,3386,122,3795,5919,1813,3497,5646,4170
08JsCOaT,3402,3278,3296,1313,5779,304,5491,2201,2774,3378,461,4849,198,636,1235,2315,1670,4386,1753,5037
08sTc3wn,3152,1568,3978,378,5973,762,2215,3842,1044,5973,431,4871,2613,2880,5257,2792,2606,3031,5673,4443
09CoMjl3,3761,2928,2928,4392,5371,2336,3373,5717,4392,3373,5947,1407,5371,939,5717,4545,4997,2353,5914,4545
09ofrKBW,973,1103,1118,596,2521,1829,2431,5454,1053,2125,3084,3699,2156,1307,5216,2439,357,1546,1667,1286
0AXQeD8I,919,919,3437,5136,2251,5013,909,2522,4497,2669,3769,817,4081,527,4741,391,4969,1638,1150,1150
0BHSGQDa,4625,3549,3997,1205,60,4625,4769,1867,4500,4989,3549,1631,3982,3316,2212,4769,1520,3997,1867,2353
0BaDgyY2,1422,3339,2180,1923,2930,3246,4724,1422,2180,5495,4610,1592,2930,1527,3312,2727,3899,5677,4724,2653
0Bi8sx1W,5059,3077,4232,3048,3691,2324,4197,3466,1955,1131,4699,1313,4693,3692,5720,4441,3035,947,3377,153
0BkN9sC8,2027,5859,3433,3708,3203,1336,3031,3708,4189,1979,3203,4610,994,2587,3676,4443,3405,3505,4781,4433
